Stock Number,Barcode,Name
CS BUNA 019 (Pipeline),537525903559,19mm Buna N Camlock Seal
MS FLA25x5,438038355199,25x5 Mild Steel Flat/mtr
UNC 5/16x3 1/2,926176039486,5/16 UNC x 3 1/2 HT Bolt ZP
UNC1/2 NYLOC1/2,099938013431,Nyloc Half Nut 1/2 UNC
OR.208V75,304934026553,ORing Viton 75 SH 208
AVGAS GSKT,957803707059,Gasket suit Avgas Fill Point Fitting
M6x110,602561281869,M6x110 HT Bolt ZP 8.8
M8x80,064388294451,M8x80 HT Bolt ZP 8.8
886-333-025-002 (EO379),937891342534,O Ring suit ZVA25 Spout
BFW315204,188846241176,1/4 NPT Plug
MFWCM02.0N,887892317213,M2.0 Nickel Plated Copper Wire Crimp
30Z,979267939661,Catch OJOP Hook only MSZ
886-435-004,407663699872,Seal suit ZVA25 & ZVA32
BF332502,738884391002,1/8 BSP Hex Adaptor
BF32240402,351108636290,1/4 x 1/8 BSP Red Bush
P0244,459901694404,ARO100 Shaft O Ring Viton
P0278,713399229836,ARO100 Nylon Bush O Ring
P4603 (Holmes),682015470387,Viton O Ring suit VOH 400
MFI WINTABSHORT,659482194596,Window Tab Short
P4517,730989339083,E Clip - Suit SLV5 Roller Shaft
P4603 (Liquip),778913743285,Viton O Ring suit VOH 400 Bridge
CS BUNA 025,818273687309,25mm Buna N Camlock Seal
M8x75,967089766936,M8x75 HT Bolt ZP 8.8
M10x60 (Brassfit),092685022854,M10x60 HT Bolt ZP 8.8
P0029,026350240718,Hatch Bolt
M20 NYLOC,182890973638,M20 Nyloc Nut ZP
PFNP125202,642691962687,1/8 BSPP Plug Int Hex Head
M10x60 (Holmes),982807649655,M10x60 HT Bolt ZP 8.8
BF330002,028208606020,1/8 BSP Hex Socket
M10x50 (Brassfit),816116613234,M10x50 HT Bolt ZP 8.8
M6x120,389382464903,M6x120 HT Bolt ZP 8.8
MOR.039x4N70,357406660208,O Ring NBR 70 SH 39x4
M10x50 (MSL),420753237970,M10x50 HT Bolt ZP 8.8
OR.M34x3.5 N70 (Seal House),717519435642,O Ring M34x3.5 suit AVV075 Cap
M6x80,210065691185,M6x80 HT Bolt ZP 8.8
CS BUNA 032,855918531489,32mm Buna N Camlock Seal
CBS-1,927298120334,4mm 25A Single Core Wire/mtr
DS9825,184895161128,"""1/2"""" BSP Bonded Washer Self-centre"""
5105,567952880738,R Clip ZP 4.5mm wire 93mm long
UNC 5/16x4 (Brass Fit),366489588247,5/16 UNC x 4 HT Bolt ZP
OR.328N70,929540178145,O Ring NBR ADF Swivel
UNC 5/16x4 (Holmes),248873460177,5/16 UNC x 4 HT Bolt ZP
GRB015010,932432100188,15mm x 10mm Galv Red Bush
S260M,,X Lube Bush Flanged 10x16x17mm
M8x120 (Brassfit),833659079629,M8x120 HT Bolt ZP 8.8
31Z (UES),620473442280,Catch OJOP Hook only MSZ
M8x120 (Holmes),700687786117,M8x120 HT Bolt ZP 8.8
RCETM009,,9mm E Clip
31Z (TWL),768965345319,Catch OJOP Hook only MSZ
CS BUNA 038,369573538309,38mm Buna N Camlock Seal
M8x100,447645953485,M8x100 HT Bolt ZP 8.8
P3097 (Liquip),371260207733,Gasket suit VOH200-5
P3097 (Gasket BOP),330611945223,Gasket suit VOH200-5
SPEEDY CALIBRATE,929274094690,Pressure Gauge Test Decal
P0224,199788138582,VOH100 Bolt O Ring
MFI E01-07,332437439928,Certificate of Accuracy Label
BF2090402,443648351707,1/8 BSP x 1/4 Hosetail
BF2090502,720797338574,1/8 BSP x 5/16 Hosetail
60418,328407748455,Stem Adaptor 04 -1/8
PF155206,153230116948,6MM Tube Plug
OR.M16x3.5 N70,402200320210,O Ring M16x3.5 N70
P0294,,O Ring AVV3.5 Spindle
21.92008,,Clip 13-23mm S/S Hose Clip
886-333-032-002 (E0346),771185026694,O Ring suit ZVA 32mm Spout
UNC 1/4 DOME,725156150159,UNC 1/4 Dome
886-333-032-002 (Sealhouse),397169930457,O Ring suit ZVA 32mm Spout
05020 (S2),365162949195,Lynch Pin Zinc 6mm
OR.018V75,666049592799,O Ring Viton 70 SH 018
R CLIP (Brassfit),922822632374,R Clip STR
OR.129V75,813530892811,Viton O Ring
R CLIP (UES),636581405331,R Clip STR
BFW330002,075294596560,1/8 NPT Socket
T5111-030,770882969621,Handle Retaining Screw Tanktainer
MFWCM04N,935620792816,M4 Nickel Plated Copper Wire Crimp
OR.119V75,553862123124,O Ring suit P4647 API Sightglass Viton
05021 (S3),510327795346,Lynch Pin 5/16
2.192012,,Tridon Clamp 17-32 MAH012P
S3 (Co-Mac 05021),709494942094,Lynch Pin 5/16
S3 (UES),344175304489,Lynch Pin 5/16
XHCPSS04,114085020298,P Clip Rubber S/S 6mm
XHCPSS06 (Brassfit),962763660133,P Clip Rubber S/S 10mm
PINS 032MM-064MM,354050545743,32-64mm Camlock Pins S/Steel
M12x35,384134271074,M12x35 HT Bolt ZP 8.8
MFI SSWINCLIP (Fik Laser),538373492256,Stainless Steel Window Clip
P5352,132020486604,Shim Washer API700
MFI SSWINCLIP (Kiwi Steel),346799886393,Stainless Steel Window Clip
MFI WINTABLONG,112073942234,Window Tab Long
21.92012,,Clip 17-32mm S/S Hose Clip
OR.032V75,884770509015,Suit OPW 1290 Spout Lrg ORing
P0028,055819840137,Hatch Bolt VOH200 Coaming Ring Short
MODEL65N,578760233608,WOF Holder
3M INSEAL3109,730156738329,3M Inseal 3109 3mm x 18mm/mtr
BF315204 (Brassfit),118805466266,1/4 BSP Plug
OR.112V75 (Sealhouse),033505302622,O Ring Viton 70 SH
41Z,398481420791,Catch OJOP Hook only MSZ
M10x70 (Brassfit),398493444297,M10x70 HT Bolt ZP 8.8
M10x70 (Holmes),639704816368,M10x70 HT Bolt ZP 8.8
M10x70 (Bolt Shop),624158307397,M10x70 HT Bolt ZP 8.8
UNC 5/16x1 1/4,887542927617,5/16 UNC x 1 1/4 Bolt ZP
M10x70 (MSL),062139499829,M10x70 HT Bolt ZP 8.8
OR.112V75 (Holmes),748528597493,O Ring Viton 70 SH
MFI API TABS 1HOLE,814233862862,S/S API Tab 1 Hole
9-2043-05,411230282054,Housing Seals suit Hella Designline
5704,279182961875,Small Strikes Zinc
GV-MFEL90-020,840536477367,3/4 BSP M&F 90deg Elbow
M10x80 (Brassfit),634550018258,M10x80 HT Bolt ZP 8.8
BSW 1/4 DOME,597099663298,1/4 BSW Dome Nut N/P
886-333-032-001,097440901584,O Ring suit ZVA 32mm Swivel
XHCPSS10 (Brassfit),278709811193,P Clip Rubber S/S 16mm
XHCPSS08 (Brass Fit),590259428403,P Clip Rubber S/S 12mm
XHCPSS12 (Brassfit),160634676944,P Clip Rubber S/S 19mm
P0658 (Liquip),245835961730,PVV204 Cork Gasket
M10x65 (Brassfit),537771373886,M10x65 HT Bolt ZP 8.8
M10x80 (MSL),692369814958,M10x80 HT Bolt ZP 8.8
L/C GASKET,121140194834,Meter Sightglass Gasket Square
GP-ASS-052,100659358561,S/S Hose Clamp 72-95mm
M10x65 (Holmes),998268364570,M10x65 HT Bolt ZP 8.8
P0658 (Gasket BOP),380165218235,PVV204 Cork Gasket
M10x65 (MSL),799229864908,M10x65 HT Bolt ZP 8.8
MS-S-006,319955272872,"""1/4"""" Black Steel Socket"""
PIN100,117448101793,Cam Arm Pin 76-100mm
894-333-004,911802830105,"""O Ring for Bush Viton 1""""x1/1"
M10x90 (Brassfit),005092732246,M10x90 HT Bolt ZP 8.8
BFW32200604,233245220766,3/8x1/4 NPT Red Bush
MFI E01-02,067067809546,Vent Test Tag
M10x90 (Holmes),777873617364,M10x90 HT Bolt ZP 8.8
M10x90 (MSL),522009862697,M10x90 HT Bolt ZP 8.8
OR.016V75,477694934260,O Ring Viton suit LQ Probe Extension
BF2090504,960899574026,1/4 BSP x 5/16 Hose Tail
BFW315206,202924512717,3/8 NPT Plug
M6 DOME,764778062667,M6 Dome Nut NP
OR.110V75 (Holmes),447465571495,VIT Stem O Ring
OR.118N90,945701393375,Hyd O Ring suit OP-20 Spool
OR.110V75 (Seal House),820058375804,VIT Stem O Ring
P0124,314653993571,Spindle O Ring suit AVV
NBS179M,561924464160,12x20x23mm Bush lubricated
OR.206N70 (Seal House),883582987491,"""O Ring 1/2"""" ID 3/4"""" OD 1/8"""
OR.206N70 (Holmes),414646736113,"""O Ring 1/2"""" ID 3/4"""" OD 1/8"""" Section"""
OR.427N70,607248917250,O Ring NBR 70 SH
MFI E01-03,813336242667,Hose Test Tag
M10x75 (Grossman),252335215062,M10x75 HT Bolt ZP 8.8
M10x75 (Brassfit),716094269228,M10x75 HT Bolt ZP 8.8
BF2090604,363724264332,1/4 BSP x 3/8 Hosetail
17160,765323251445,Asu Size 1 Joining Kit
M10x75mm (MSL),538026862131,M10x75 HT Bolt ZP 8.8
OR.210V75 (Holmes),839368675225,Faucet Handle  O Ring - Small
OR.210V75 (Seal House),295255497418,Faucet Handle  O Ring - Small
S208M,280398706077,Bush 12x16x22mm
UNC 1/2x3 1/2 CAP,005909882735,"""1/2"""" UNC Allen Cap Screw suit Treloar MC402 Hatch"""
OR.240N70 (Seal House),546516648027,O Ring suit Filter Housing RE070N10B/2
OR.240N70 (Holmes),606770645325,O Ring suit Filter Housing RE070N10B/2
ASOPAD,371594953906,Absorbent Spill Pad White
HYD CAPGSK,310442696887,Stauf Filler Cap Gasket
CS BUNA 051,816966365971,51mm Buna N Camlock Seal
E10,965732120564,E10 Courier Bag
SELCWINDOW (Mt),623621722427,PC Window
UNC 5/16x5,617491730622,5/16 UNC x 5 HT Bolt ZP
NV3000GZ,638916345400,NV3000 Gauze
OFP BOXGASK,673852539565,Lid Gasket for Scully Junction Box
S202M,268144588964,Bush 6x10x22mm
BF315202 (Brassfit),411864347482,1/8 BSP Plug
BF332504,135044679446,1/4 BSP Hex Adaptor
717-R606118-703 (Mt),640963921639,O Ring Viton SV87S Vapour Vent
GP-ASS-060,818407696626,S/S Hose Clamps 84-108mm
OR.259N70,138597326498,ORing NBR 70 SH 259
717-R606113-703,867189702348,O Ring Viton suit API405/2 Sha
UA1231,978900779345,15.9x1.45 Extr Tube AL/mtr
OR.213V75 (Seal House),810976529893,O Ring Viton 75SH 213
OR.213V75 (Holmes),134818666129,O Ring Viton 75SH 213
L/C ROUND,687083298875,Meter Sightglass Gasket Round
BF32240604,666448927422,3/8 x 1/4 BSP Red Bush
M12x40 (Brassfit),515053070824,M12x40 HT Bolt ZP 8.8
MOR.034x3.5N70,238383414447,ORing NBR 70SH 34x3.5
M12x40 (MSL),274562279658,M12x40 HT Bolt ZP 8.8
CSKSKTXM616,114490999958,M6x16 CSK Socket Screws S/S suit Todo Handle
M12x65,827208908907,M12x65 HT Bolt ZP 8.8
AIR LINE 8mm (Norgren),718104717612,8mm Nylon Air Line/mtr
M10x100 (Brassfit),506703840217,M10x100 HT Bolt ZP 8.8
GP-ASS-064,356708474584,S/S Hose Clamps 91-114mm
HYD-OIL (MCFALL),049141538533,Hydraulic Oil ISO 46/ltr
AIR LINE 8mm (Brassfit),229412294920,8mm Nylon Air Line/mtr
M10x100 (Bolt Shop),382499085388,M10x100 HT Bolt ZP 8.8
M10x100 (Hardie),482728708557,M10x100 HT Bolt ZP 8.8
M14 NYLOC,544396248889,M14 Nyloc Nut ZP
BNDTSTRP,478670926381,10mm x 0.5mm S/S Bandit Strap/mtr
RCEM010,263270853797,10mm 304 External Circlip suit Trelor PVV Vent
R0544077-500,192173744552,10mm Circlip suit Trelor PVV Vent
OR.033x2.5 N70 (Mt),047760955403,O Ring suit SV80 7 Series Cap
XHCPSS16,955892140322,P Clip Rubber S/S 25mm
MS FLA32x3,805665767356,32x3 Mild Steel Flat/mtr
P3096  (Gasket BOP),594136002436,AVV3R Vapour Vent Gasket
P3096  (Liquip),214744235251,AVV3R Vapour Vent Gasket
P0661 (Liquip),335743369092,Gasket Suit Square Camlock
S3 (TWL),145804323374,Lynch Pin 5/16
M12x45,397287558089,M12x45 HT Bolt ZP 8.8
P0661 (Shuk),667043542722,Square Camlock Dropper Gaskets
P0661 (Gasket BOP),598264032930,Square Camlock Dropper Gaskets
M16 NYLOC10.9,973278184281,M16 Nyloc G10.9
P0658KLIN,624339493557,PVV204 Green Klinger Gasket
E11,108656705339,E11 Courier Bag
MS FLA40x3,238279146534,40x3 Mild Steel Flat/mtr
XHCPSS20 (Brassfit),276318754997,P Clip Rubber S/S 32mm
BF315206 (Brassfit),277952506732,3/8 BSP Plug
UA1422,268723914133,Alloy Capping AL/mtr
BF315206 (Hose Supplies),147172292758,3/8 BSP Plug
S271,,Shaft Locking Pin
BF315206 (TWL),042495357130,3/8 BSP Plug
XEGCG03,081475399747,3mm Stainless Steel Wire Rope/mtr
V15-14,802466878291,Nitrile Gasket suit Ebspray V15
61103-18,112787936837,Tape TESA Durafoam EPDM (18mm x 4.8mm)/mtr
M12x75,863215506892,M12x75 HT Bolt ZP 8.8
P4284 (Gasket BOP),641816878954,Gasket suit PVV104-14
P4284 (Liquip),038123459636,Gasket suit PVV104-14
402491S,569276288326,Emergency Stop Signage
403470,776443405563,Fire Extinguisher Signage
M12x50 (MSL),829263865411,M12x50 HT Bolt ZP 8.8
M12x50 (Brassfit),841746100775,M12x50 HT Bolt ZP 8.8
M12x60 (Brassfit),,M12x60 HT Bolt ZP 8.8
ST7/10,138494404096,Split tubing 7mm/mtr
M12x50 (Hardie),591456551146,M12x50 HT Bolt ZP 8.8
M12x60 (Bolt Shop),,M12x60 HT Bolt ZP 8.8
SSCLIP (Indust Brush),202873957789,Spray Suppressant H Clip
331-435-003,757750073842,Viton O Ring
SSCLIP (TWL),674397392873,Spray Suppressant H Clip
R606037-400,741664335393,O Ring suit PVV
BF330004,617872225741,1/4 BSP Hex Socket
UA1258,384374537682,Solid Round Rod 9.53mm AL/mtr
R010837-602,484893808674,Trelor PVV Gasket
BF33240402,573334266352,1/4 x 1/8 BSP Red Adaptor
TTCO32 (Mt),353233756154,Terry Clip 32mm
BF32240602,345352752029,3/8 x 1/8 BSP Red Bush
5983446,267804425127,Preformed Bandit 38 x 12.7mm
BMRELFGSK,488226302129,Blackmer Relief Gasket
M10x90 CAP,,M10x90 Cap Screw ZP
M10x130 (Brassfit),924828578580,M10x30 HT Bolt ZP 8.8
M10x130 (Hardie),999401497909,M10x30 HT Bolt ZP 8.8
TRLC8,872770426468,P Clip Rubber 8mm
TBC36-39,088996900704,36-39mm T Bolt Clamp
OR.114V75 (Seal House),515231792100,O Ring Viton SH
OR.114V75 (Holmes),840090385277,O Ring Viton SH
P4877,767956343063,Hatch Bolt Long - suit VOH200
9812,972806560046,"""3/4"""" Black Spiralflex/mtr"""
RCEM013,425603999024,13mm S/S External Circlip
PF153306,420921621541,6mm Tube Cap
P4863,922342225126,Bolt BSW 1/2 x 41/2
PI-LABEL,667169525639,Product Tumbler Label
HELICOIL (Brassfit),521958844920,Helicoil Insert
PI-100-AG,533915824732,Product Ind Sticker Avgas
PI-100-G (Liquip),814213639868,Product Tumbler Decal - Diesel
HYD-OIL,899678298091,Hydraulic Oil ISO 46/ltr
PI-100L,871041949470,Prod Ind Sticker Light Kero
PI-100-P (Liquip),286334675841,Product Ind Sticker Prem 96
PI-100-U (Liquip),975334924098,Product Ind Sticker ULP91
SPEEDY DRUMJET,121494084817,Jet A1 Drum Decal
HELICOIL (Bolt Shop),573549016408,Helicoil Insert
PI-100-G (Marty Signs),648468045359,Product Tumbler Decal - Diesel
PI-100-GE (Marty Signs),395157409792,API Label Diesel
PI-100-P (Marty Signs),496178141070,Product Ind Sticker Prem 96
PI-100-PE (Martys Signs),796883646055,AP Label Premium
PI-100-U (Martys Signs),548463721348,Product Ind Sticker ULP91
PI-100-UE (Martys Signs),791619990617,API Label 91
PI-100-SE,510389563482,API Label
PI-100-GE (Liquip),928392409245,API Label Diesel
PI-100-PE (Liquip),389902353089,AP Label Premium
PI-100-UE (Liquip),805787977075,API Label 91
PI-100-J,768896434304,Product Sticker Jet A1
HRWD,151499804535,Hand Rail Warning Decal
SRSD,667636625187,Safety Rail System Decal
TRLC11,042935831198,P Clip Rubber 11mm
HELICOIL (Holmes),530373745084,Helicoil Insert
PI-100-UD,756740610381,Product Indicator Ultimate Diesel Decal
THST19B,719388928029,Spiral Tie 19mm Black/mtr
MODEL65A,555443902272,WOF Holder 65x55
OR.331N70,534682606548,O Ring NBR 70 SH 331
OR132,775868690760,Dixon VR Sightglass O Ring
5528,331943065436,Shouldered Bush 12x16x22mm
SLV5-21M,850702509718,SLV5 Tank Flange Stud - M8x42
SLV5-21,032495561320,SLV Stud 5/16 BSW Wide x 1.5
P4238 (Liquip),615867495268,Cork Gasket Suit LQ Elbow
C00040800,463730796313,8mm Plug
P4238 (Gasket BOP),307672264772,Cork Gasket Suit LQ Elbow
2315-27,919063875404,O Ring suit 10 Series Bowl
ESCNG12,586592526838,Nylon Cable Gland 12mm
VHHT46/D200L,787509204657,Hydraulic Oil AW46/ltr
TANK-RTIR39x4,164002829688,O Ring - internal suit RTIR-10 Filter Housing
BFW33240604,252183806781,3/8x1/4 Red Adaptor NPT
M12x100,244711248777,M12x100 HT Bolt ZP 8.8
P0657 (Liquip),786187803447,Cork API Gasket
P0657 (Gasket BOP),275168551637,Cork API Gasket
GV-RB-038-032 (Pipeline Hose),300853206899,1 1/2 x 1 1/4 BSP Red Bush
GV-RB-038-032 (MRC Trademark),836932507219,1 1/2 x 1 1/4 BSP Red Bush Galv
GV-HN-032,557514907348,32mm Hex Nipple Galv
MS FLA75x3,816619621137,75x3 Mild Steel Flat/mtr
TBC44-47,328924957486,44-47mm T Bolt Clamp
PFN15680604,625249862304,6mm x 1/4 BSPT STR
5505,665750144637,Shouldered Bush 1/2x5/8x3/4
OR.205V75,763112609974,O Ring 205V75 Treloar 697M
UBOLT25MM (Mt),827003736630,25mm U Bolt
OR.118V75 (Holmes),444972576505,Trelor SV80 Retainer O Ring
OR.118V75 (Seal House),706932303791,Trelor SV80 Retainer O Ring
NZCSAT,386813777639,NZ Courier Saturday Delivery
H20315M,656334401126,Civicon API 861 Cone O Ring suit 861
BFW360002,523053746769,1/8 NPT Male Branch Tee
5526,,Shouldered Bush 10x16x17mm
TC17W900T (Mt),841730107505,Cone Collar 900 Upper
M12x110,967397800627,M12x110 HTBolt ZP 8.8
HYD-OIL 20TWL (Mt),287559526009,Elfolna DS 46 Hydraulic Oil 20ltr
VHHT46/J20L,936003843739,Hytec AW46 20ltr
TBC48-51,950528416648,48-51mm T Bolt Clamp
SKPB1234,261672430816,1/2x3/4 SKT Pressure Plug BSP
BFW375002,447727951889,1/8 NPT Male Run Tee
5557562,522896813464,Preformed Bandit 50 x 12.7mm
OR.16x2V75,674524969931,O Ring Viton 16x2 V75
TBC56-59,708910118258,56-39mm T Bolt Clamp
UA1174,388731168152,30x3 Flat Bar AL/mtr
SR50,716866794048,Solid Rubber Wheel
P0265 (OR.155N70),735405328166,O Ring suit VCMC Vapour Couple
5580-12 (VD-60/49),268655663812,"""Flat Seal suit 2"""" Spanloc"""
777-H52479M (Gasket BOP),477407706678,Gasket Neoprene suit 4403E-SQS
S452M,394924373983,Bush 12x16x16mm
P0656,948158765485,BF3 Cork API Gasket
M16x100,,M16x100 HT Bolt ZP 8.8
777-H52479M (Tanker Solutions),789901635706,Gasket Neoprene suit 4403E-SQS
TRLC13,850179776771,P Clip Rubber 13mm
VHNT46 20LTR,320170398962,Hytec AW46/ltr
2315-26,521962987854,O Ring suit 72 Series Bowl
PI ULTIMATE,119380946044,Product Indicator Decal Ultimate
OR.928N90,292730755332,O Ring Hydraulic 928
HYD-OIL(S),748902010923,Hydraulic Oil/ltr
NCONE34FZ,757948734847,3/4 Cone Lock Nuts UNF ZP
3M SAFEWALK50,994775361625,3M Safety Walk 610 50mm Self Adhesive/mtr
TBC60-63,572482289220,60-63mm T Bolt Clamp
C00040600,857653936389,6mm Plug
UA1233,993964577470,1.45x22.22 Extr Tube AL/mtr
BSPBN6012,565805071286,1/2 BSP 316 Back Nut
BSPPBN6012,733270781028,1/2 BSP 316 Black Nut
OR.116V75,234986788486,O Ring Viton 70 SH
P4421,147380370217,Rollover Spring
OR.164N70,354764260499,O Ring suit OPW 861 API Cone
MS FLA40x5,113218258411,40x5 Mild Steel Flat/mtr
XHCPSS24,854939322056,P Clip Rubber S/S 38mm
HL2926,634215582774,Reflex Reflector Red
S-OP/WASHER,682814451138,Detent Spring Retainer
MFW02.00707,212943703767,M2 316 Semi Flexible Wire/mtr
HYD-OILAW,843281112978,Anti-wear Hydraulic Oil/ltr
RO7676B2P,628026232326,Duplicate Printing Roll 76mm
TRLC16,633919448885,P Clip Rubber 16mm
PF156404,864800134730,4mm Union Tee PP PTC
BFW340002,240756456300,1/8 NPT M&F Elbow
OR.348N70,171267359421,OPW O Ring
NZC RD,453520256215,Rural Delivery Courier
DS9830,984449357800,"""1"""" BSP Bonded Washer Self-centre"""
TC17W900B (Mt),450800342624,Cone Collar 900 Lower
08E0406 (Mt),325536100654,4mm x 6mm PTC Enlarger
HL2923 (TWL),472426257521,Reflex Reflector Red
HL2923 (BNT),657828503557,Reflex Reflector Red
GV-TTS-013,424938128987,"""1/2"""" Galv Hose Tail"""
ARMS 013-019,580983093124,13-19mm Camlock Arms Brass
BF332506,319181285943,3/8 BSP Hex Adaptor
CS BUNA 064,263747518767,64mm Buna N Camlock Seal
SPLKIT  GLOVES (NZ Safety/Blac,418859878993,Gloves/pr
CA25-32 ARMS AND PINS,219245391988,CA25-32 Arms and Pins Camlock
SPLKIT GLOVES (Safety & Appare,514611980554,Gloves/pr
BF2090606,789048983897,3/8 BSP x 3/8 Hosetail
BF2090806,248260611524,3/8 BSP x 1/2 Hosetail
M16x40,293532988797,M16x40 HT Bolt ZP 8.8
22.PJ243 (Mt),390808004463,25mmx10mm Punchloc Lock Clamp
6098-07,671350291559,Poppet O-ring Viton SCM50 Todo
"AIR LINE 3/8"" (Brassfit)",312621288352,3/8 OD Nylon Air Line/mtr
"AIR LINE 3/8"" (TWL)",098296907317,3/8 OD Nylon Air Line/mtr
OR.340N70,493770935564,O Ring NBR 70 SH
UA1928,924827543419,19x2.0 Extr Tube AL/mtr
P0265,856278741712,ORing Viton suit VCM3 Nose Co
BFW370002,200845149211,1/8 NPT Male Run Tee
9816,391452474941,"""1"""" Black Spiralflex/mtr"""
BF32240802,091533154088,1/2 x 1/8 BSP Red Bush
SF2800,117631787965,SF2800 Green Material
SR100-9,239191659846,Orange Static Wire/mtr
HAUBZ/008x025,289019673384,8x25mm Pipehanger U Bolt ZP
BFW330004,074456932922,1/4 NPT Socket
102250418,148113155767,4mm x 1/8 BSPP STR
BSPPH6006,600948426868,1/4 BSP 316 Hex Plug
DISBAG (STPOLYBA),667053473368,SpillTech Poly Bag 600x1200x70mu
886-053-032-001,640710591125,Spout Bolt ZVA 32mm
M16x50 (Hardie),391025570731,M16x50 HT Bolt ZP 8.8
M16x50 (Holmes),802442231725,M16x50 HT Bolt ZP 8.8
BF20506,333723495668,3/8 Barbed Hose Joiner
101250418 (Norgren),653126937144,4mmx1/8 BSPT STR
MFI E01-05,908750748946,Aviation Tag
5983429,989556452537,Preformed Bandit 70 x 12.7mm
OR.932N90,303209810837,O Ring Hydraulic 932
PEC-TYPE-C,445071890714,PEC Vent Gaskets
331-349-007,200031085404,Brass Cam Pin 8mm
PF15710602,765033949180,6mm x 1/8 BSPT Male Swivel Run Tee
3796,182692586669,Rope Tensioner Hook Kit - 2 parts
PFNP15680804,726966982679,8mm x 1/4 BSPP STR
R606125-700,432147532737,SV87 Cap O RIng
OR.333N70,737983395896,O Ring NBR 70 SH 333
CHAIN (Bunnings),062692196322,3.2mm Galv Chain/mtr
HYD OIL(S) 18 LTR,851939901651,Hydraulic Oil 18ltr
BF315208,072764417658,1/2 BSP Plug
HYD-OILAW 18LTR,822654137221,Anti-wear Hydraulic Oil 18ltr
CHAIN (Wholesale & Industrial),812816276700,3.2mm Galv Chain/mtr
OR.206V75 (Holmes),080022305921,Trelor Foot Valve Piston
BMINLETGSK,071956993150,Blackmer Inlet Gasket
UA1180,967102561688,20x4.5 Flat Bar AL/mtr
OR.206V75 (Seal House),141328392643,Trelor Foot Valve Piston O Ring
BF32240806,930686710206,1/2 x 3/8 BSP Red Bush
UA1968,972567774683,20x1.6 Extr Tube AL/mtr
OR.3x85,836296706185,O Ring suit Filter Cap RE07ON10B/2
80139,447093092956,Butt Hinge SS FP 85x60x1.5mm
HYD OIL 20LTR,423495862787,Hydraulic Oil ISO 46/ltr
TE M16x120,371626488698,M16x210 Tank Bolt
P0290 (OR.259N70),101869273865,O Ring suit Faucet Nose Cone
P0290 (Liquip),434253798769,O Ring suit Faucet Nose Cone
P0290 (Holmes),403641844096,O Ring suit Faucet Nose Cone
PF15720604,720622885393,6mm x 1/4 BSPT Swivel L Branch Tee
P0043,044705181765,Circlip 3/8 external - Suit PVV204
N-090-110-W3 (Mt),914232682543,90-110 W3 S/S Hose Clamp
MS ANG30x3,071931321532,30x30x3 Mild Steel Angle/mtr
BF33240604,719195379012,3/8 x 1/4 BSP Red Adaptor
STRAM4-M5 (Mt),429085688142,6mm x M5 STR Adaptor
M10x140 (Holmes),597803363960,M10x140 HT Bolt ZP 8.8
M10x140 (MSL),680008676605,M10x140 HT Bolt ZP 8.8
NZC LOCAL,020702862099,NZ Courier Local Ticket
BF330006,994061101707,3/8 BSP Hex Socket
102250628,162895680901,6mmx1/4 BSPP STR
BMK DC (00684405),653504340346,Dog Clips
SPEEDY DRUMAV,009082957157,Avgas Drum Label
GV-RB-051-038,506165079068,51x38mm Red Bush Galv
SPEEDY DRUM91,906281577897,ULP 91 Drum Decal
SPEEDY DRUM95,270906207951,Premium Class 3A Petrol Drum Decal
N-090-110/9W3 (Mt),142280339029,Norma S/S Hose Clamp
MS ANG30x5,215864137484,30x30x5 Mild Steel Angle/mtr
P0273 (Gasket BOP),691346556405,ARO Gasket
ZBY-2330 (MT),261077020958,Master E Stop ID Tag
ESC516158Z(Mt),106037011085,5/16 UNC Stud
P0273 (Liquip),366691353418,ARO Gasket
OR.163N70,328837173418,O Ring NBR SH70
PGPMK63,385141109959,Pressure Gauge Panel Mount Kit 63mm
CS BUNA 076 (Shuk),391560225059,76mm Buna N Camlock Seal
CS BUNA 076 (Pipeline),396575048600,76mm Buna N Camlock Seal
OR.358N70,511146424257,O Ring NBR 70
102250618 (Norgren),240028430887,6mmx1/8 BSPP STR
PF15720802,264194331028,8mm x 1/8 BSPT Male Swivel Branch Tee
BF32240804,532183384488,1/2 x 1/4 BSP Red Bush
GV-TTS-025,765209659238,25mm Galv Hose Tail BSPTM
5582-12,,Seal Vulkolan SCV40 Tank Unit
TBC64-67,750110081855,64-67mm T-Bolt Clamp
777-H07284M,055499528516,OPW Locking Lever Spring
OR.010V75 (Holmes),311022345303,VIT Piston Small
OR.010V75 (Seal House),371635397340,VIT Piston Small
AJ0666/001,851299263948,Door Retainer Rubber Female
P0200 (Liquip),828107583669,Run Off Pipe Gasket SLV5
P0200 (Gasket BOP),668482355239,Run Off Pipe Gasket SLV5
BF340002,384428103611,1/8 BSP M&F Elbow
ESCNG16 (Ideal),251642338945,Nylon Cable Gland 16mmx1.5
NO GLOVES (Mt),452043957002,NO GLOVES Decal
GV-TTS-019,418565131886,19mm Galv Hose Tail BSPTM
"L/C 2 1/2"" KLINGSKT",994626190496,"2 1/2"" L/C Gasket Klinger"
Internal Circlip,448707261070,Internal Circlip
ESCNG16 (JA Russell),404150393165,Nylon Cable Gland 16mmx1.5
"L/C 2 1/2""GASKET",778196548995,"2 1/2"" L/C Gasket Cork"
ESCNG16 (RS Compenents),071404413060,Nylon Cable Gland 16mmx1.5
PF156306,243138048538,"""6mm Union """"Y"""""""
